ID,Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy Price,Sell Price,Miles Price,Color 1,Color 2,Size,Interact,Tag,Outdoor,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Speaker Type,Lighting Type
1,acoustic guitar,Natural,Body,NA,NA,Yes,Yes,No,5,,3210,,Beige,Brown,1x1,Yes,Musical Instrument,No,Crafting,,music,None,None,None,Does not play music,No lighting
2,acoustic guitar,Cherry,Body,NA,NA,Yes,Yes,No,5,,3210,,Red,Black,1x1,Yes,Musical Instrument,No,Crafting,,music,None,None,None,Does not play music,No lighting
3,acoustic guitar,Brown,Body,NA,NA,Yes,Yes,No,5,,3210,,Brown,Black,1x1,Yes,Musical Instrument,No,Crafting,,music,None,None,None,Does not play music,No lighting
4,acoustic guitar,Blue,Body,NA,NA,Yes,Yes,No,5,,3210,,Blue,Black,1x1,Yes,Musical Instrument,No,Crafting,,music,None,None,None,Does not play music,No lighting
5,acoustic guitar,White,Body,NA,NA,Yes,Yes,No,5,,3210,,White,Black,1x1,Yes,Musical Instrument,No,Crafting,,music,None,None,None,Does not play music,No lighting
6,acoustic guitar,Black,Body,NA,NA,Yes,Yes,No,5,,3210,,Black,Black,1x1,Yes,Musical Instrument,No,Crafting,,music,None,None,None,Does not play music,No lighting
7,acoustic guitar,Pink,Body,NA,NA,Yes,Yes,No,5,,3210,,Pink,White,1x1,Yes,Musical Instrument,No,Crafting,,music,None,None,None,Does not play music,No lighting
8,air circulator,White,NA,NA,NA,No,No,No,,1100,275,,White,White,1x1,Yes,Fan,Yes,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,office,None,None,Does not play music,No lighting
9,air circulator,Black,NA,NA,NA,No,No,No,,1100,275,,Black,Gray,1x1,Yes,Fan,Yes,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,office,None,None,Does not play music,No lighting
10,air circulator,Pink,NA,NA,NA,No,No,No,,1100,275,,Pink,Pink,1x1,Yes,Fan,Yes,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,office,None,None,Does not play music,No lighting
